Observer ,Date,Location ,Species,Body_Size_cm ,Group_Size,Habitat,Pass,Time_Start,Time_End,Depth (ft)
MB ,5-12-2025,Hinalea ,A. triostegus,12.5,4,Reef_Flat ,1,10:18,10:45,3
MB ,5-12-2025,Hinalea ,C. spilurus ,12.5,12,Reef_Flat ,1,10:18,10:45,3
MB ,5-12-2025,Hinalea ,T. duperrey,12.5,1,Reef_Flat ,1,10:18,10:45,3
MB ,5-12-2025,Hinalea ,A. triostegus,12.5,1,Reef_Flat ,1,10:18,10:45,3
MB ,5-12-2025,Hinalea ,C. spilurus ,12.5,3,Reef_Flat ,1,10:18,10:45,3
MB ,5-12-2025,Hinalea ,A. triostegus,12.5,3,Reef_Flat ,1,10:18,10:45,3
MB ,5-12-2025,Hinalea ,A. triostegus,7.5,2,Reef_Flat ,1,10:18,10:45,3
MB ,5-12-2025,Hinalea ,C. spilurus,7.5,12,Reef_Flat ,1,10:18,10:45,3
MB ,5-12-2025,Hinalea ,A. triostegus ,12.5,2,Reef_Flat ,1,10:18,10:45,3
MB ,5-12-2025,Hinalea ,T. duperrey,12.5,1,Reef_Flat ,1,10:18,10:45,3
MB ,5-12-2025,Hinalea ,Z. velifer,7.5,1,Reef_Flat ,1,10:18,10:45,3
MB ,5-12-2025,Hinalea ,Z. velifer,7.5,4,Reef_Flat ,1,10:18,10:45,3
MB ,5-12-2025,Hinalea ,C. spilurus,12.5,15,Reef_Flat ,1,10:18,10:45,3
MB ,5-12-2025,Hinalea ,T. duperrey,12.5,4,Reef_Flat ,1,10:18,10:45,3
MB ,5-12-2025,Hinalea ,A. triostegus,12.5,1,Reef_Flat ,1,10:18,10:45,3
MB ,5-12-2025,Hinalea ,Z. cornutus,12.5,1,Reef_Flat ,1,10:18,10:45,3
MB ,5-12-2025,Hinalea ,C. lunulatus,12.5,3,Reef_Flat ,1,10:18,10:45,3
MB ,5-12-2025,Hinalea ,C. spilurus,12.5,15,Reef_Flat ,1,10:18,10:45,3
MB ,5-12-2025,Hinalea ,T. duperrey,17.5,1,Reef_Flat ,1,10:18,10:45,3
MB ,5-12-2025,Hinalea ,A. triostegus,12.5,2,Reef_Flat ,1,10:18,10:45,3
MB ,5-12-2025,Hinalea ,S. psittacus,12.5,10,Reef_Flat ,1,10:18,10:45,3
MB ,5-12-2025,Hinalea ,S. psittacus,7.5,3,Reef_Flat ,1,10:18,10:45,3
MB ,5-12-2025,Hinalea ,Z. velifer ,12.5,1,Reef_Flat ,1,10:18,10:45,3
MB ,5-12-2025,Hinalea ,S. psittacus,7.5,30,Reef_Flat ,1,10:18,10:45,3
MB ,5-12-2025,Hinalea ,G. varius ,17.5,1,Reef_Flat ,1,10:18,10:45,3
MB ,5-12-2025,Hinalea ,T. duperrey,17.5,1,Reef_Flat ,1,10:18,10:45,3
MB ,5-12-2025,Hinalea ,C. spilurus ,17.5,2,Reef_Flat ,1,10:18,10:45,3
MB ,5-12-2025,Hinalea ,L. fulvus,22.5,1,Reef_Flat ,1,10:18,10:45,3
MB ,5-12-2025,Hinalea ,Z. cornutus,12.5,1,Reef_Flat ,1,10:18,10:45,3
MB ,5-12-2025,Hinalea ,C. spilurus ,7.5,23,Reef_Flat ,1,10:18,10:45,3
MB ,5-12-2025,Hinalea ,C. lunulatus,12.5,3,Reef_Flat ,1,10:18,10:45,3
MB ,5-12-2025,Hinalea ,A. triostegus,12.5,3,Reef_Flat ,1,10:18,10:45,3
MB ,5-12-2025,Hinalea ,T. duperrey,17.5,1,Reef_Flat ,1,10:18,10:45,3
MB ,5-12-2025,Hinalea ,T. duperrey,17.5,3,Reef_Flat ,1,10:18,10:45,3
MB ,5-12-2025,Hinalea ,A. triostegus ,7.5,1,Reef_Flat ,1,10:18,10:45,3
MB ,5-12-2025,Hinalea ,C. spilurus,17.5,2,Reef_Flat ,1,10:18,10:45,3
MB ,5-12-2025,Hinalea ,S. psittacus ,7.5,10,Reef_Flat ,1,10:18,10:45,3
MB ,5-12-2025,Hinalea ,Z. velifer,17.5,3,Reef_Flat ,1,10:18,10:45,3
MB ,5-12-2025,Hinalea ,A. triostegus,12.5,2,Reef_Flat ,1,10:18,10:45,3
MB ,5-12-2025,Hinalea ,S. psittacus ,12.5,7,Reef_Flat ,1,10:18,10:45,3
MB ,5-12-2025,Hinalea ,L. fulvus,17.5,2,Reef_Flat ,1,10:18,10:45,3
MB ,5-12-2025,Hinalea ,G. varius,12.5,4,Reef_Flat ,1,10:18,10:45,3
MB ,5-12-2025,Hinalea ,T. duperrey,17.5,2,Reef_Flat ,1,10:18,10:45,3
MB ,5-12-2025,Hinalea ,S. psittacus,7.5,24,Reef_Flat ,1,10:18,10:45,3
MB ,5-12-2025,Hinalea ,A. triostegus,12.5,4,Reef_Flat ,1,10:18,10:45,3
MB ,5-12-2025,Hinalea ,C. auriga,12.5,2,Reef_Flat ,1,10:18,10:45,3
MB ,5-12-2025,Hinalea ,Z. flavescens,17.5,6,Reef_Flat ,1,10:18,10:45,3
MB ,5-12-2025,Hinalea ,A. triostegus,12.5,2,Reef_Flat ,1,10:18,10:45,3
MB ,5-12-2025,Hinalea ,T. duperrey,17.5,4,Reef_Flat ,1,10:18,10:45,3
MB ,5-12-2025,Hinalea ,A. triostegus,12.5,2,Reef_Flat ,1,10:18,10:45,3
MB ,5-12-2025,Hinalea ,C. spilurus,22.5,1,Reef_Flat ,1,10:18,10:45,3
MB ,5-12-2025,Hinalea ,T. duperrey,17.5,1,Reef_Flat ,1,10:18,10:45,3
MB ,5-12-2025,Hinalea ,A. triostegus ,7.5,1,Reef_Flat ,1,10:18,10:45,3
MB ,5-12-2025,Hinalea ,G. varius,12.5,1,Reef_Flat ,1,10:18,10:45,3
MB ,5-12-2025,Hinalea ,T. duperrey,17.5,2,Reef_Flat ,1,10:18,10:45,3
MB ,5-12-2025,Hinalea ,A. triostegus,12.5,3,Reef_Flat ,1,10:18,10:45,3
MB ,5-12-2025,Hinalea ,C. spilurus,12.5,12,Reef_Flat ,1,10:18,10:45,3
MB ,5-12-2025,Hinalea ,C. lunulatus ,17.5,2,Reef_Flat ,1,10:18,10:45,3
MB ,5-12-2025,Hinalea ,T. duperrey ,17.5,1,Reef_Flat ,1,10:18,10:45,3
MB ,5-12-2025,Hinalea ,A. triostegus,12.5,3,Reef_Flat ,1,10:18,10:45,3
MB ,5-12-2025,Hinalea ,T. duperrey,12.5,1,Reef_Flat ,1,10:18,10:45,3
MB ,5-12-2025,Hinalea ,S. psittacus,7.5,32,Reef_Flat ,1,10:18,10:45,3
